index,Cement(kg/m3),Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3),FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),GUI_prediction_MPa,Pipeline_prediction_MPa,Absolute_difference_MPa
1031,225.625,190.0,752.5,937.1,47.5,11.875,190.0,1.1875,36.06855941194178,36.06855941194178,0.0
297,287.0,188.0,904.0,696.0,94.0,0.0,121.0,9.0,42.51752867787358,42.51752867787358,0.0
261,156.0,221.0,854.0,614.0,187.0,0.0,178.0,7.0,29.085353848366616,29.085353848366616,0.0
439,180.0,198.0,840.0,799.0,101.3,67.5,101.3,5.0,38.28862406875843,38.28862406875843,0.0
481,120.0,112.0,1200.0,600.0,280.0,0.0,0.0,5.6,34.222773211167436,34.222773211167436,0.0
309,522.5,172.36,722.0,970.0,0.0,27.5,0.0,8.25,62.50176719803079,62.50176719803079,0.0
163,150.7,164.6,1074.5,687.0,124.8,0.0,0.0,15.6,18.149468657345494,18.149468657345494,0.0
736,111.0,128.0,1115.0,770.0,127.0,0.0,47.0,2.28,36.49423845956343,36.49423845956343,0.0
598,280.0,175.0,1132.0,680.0,0.0,0.0,70.0,0.0,31.22344143972544,31.22344143972544,0.0
1447,148.32,197.0,1015.77,798.1,0.0,0.0,45.6,0.0,24.571950348798985,24.571950348798985,0.0
1423,300.0,160.0,1137.0,741.0,0.0,0.0,100.0,0.0,36.13800962527224,36.13800962527224,0.0
239,261.9,195.4,895.2,732.6,86.1,0.0,110.5,5.0,39.99215605984336,39.99215605984336,0.0
1299,175.0,215.0,1135.0,748.0,0.0,0.0,37.5,0.0,9.740854331074893,9.740854331074893,0.0
1393,180.0,126.0,1125.0,675.0,0.0,0.0,270.0,14.0,70.74793230948816,70.74793230948816,0.0
1083,130.0,214.9,832.0,785.0,156.0,78.0,156.0,7.57,36.253643586298125,36.253643586298125,0.0
1356,156.0,203.0,1174.0,710.0,0.0,0.0,212.0,0.0,22.41044454940578,22.41044454940578,0.0
1406,180.0,135.0,875.0,875.0,225.0,45.0,0.0,2.357,60.15521490734444,60.15521490734444,0.0
1329,274.0,160.0,1285.0,500.0,0.0,0.0,183.0,3.29,48.152167287684954,48.152167287684954,0.0
423,270.0,198.0,863.0,821.0,0.0,0.0,180.0,3.4,49.43508923525011,49.43508923525011,0.0
429,270.0,198.0,841.0,801.0,135.0,45.0,0.0,4.5,40.826324991076696,40.826324991076696,0.0
63,436.5,200.0,778.0,880.0,0.0,18.0,0.0,6.7,61.86889199354487,61.86889199354487,0.0
1115,459.0,183.6,817.56,828.36,0.0,81.0,0.0,4.32,49.48397832203594,49.48397832203594,0.0
1395,180.0,135.0,895.0,895.0,225.0,45.0,0.0,1.429,58.93884758508336,58.93884758508336,0.0
1106,260.0,180.0,858.0,930.0,120.0,20.0,0.0,0.0,27.67312701135025,27.67312701135025,0.0
1133,277.0,155.0,1031.0,638.0,0.0,28.0,249.0,0.0,63.1159405475234,63.1159405475234,0.0
430,180.0,198.0,828.0,788.0,202.5,67.5,0.0,4.8,32.00471692710504,32.00471692710504,0.0
691,240.0,160.0,1104.0,736.0,0.0,0.0,160.0,2.0,22.32948054962003,22.32948054962003,0.0
1307,210.0,231.0,1027.0,677.0,0.0,0.0,150.0,0.0,25.70252944458094,25.70252944458094,0.0
813,124.0,210.12,812.0,853.0,186.0,0.0,186.0,5.0,19.95009144222882,19.95009144222882,0.0
1036,106.875,190.0,741.7,923.7,95.0,35.625,237.5,1.425,26.15003652292242,26.15003652292242,0.0
535,360.0,159.67,1041.0,858.0,0.0,83.52777778,0.0,9.757611111,61.83499640932304,61.83499640932304,0.0
1094,285.3,155.33,1268.0,634.0,31.7,0.0,0.0,0.0,30.817879495418314,30.817879495418314,0.0
30,260.0,214.9,832.0,785.0,130.0,0.0,130.0,5.67,31.966421401167594,31.966421401167594,0.0
56,253.75,163.0,1048.0,670.0,90.62,18.12,0.0,0.0,36.47032479048798,36.47032479048798,0.0
1174,323.1,158.0,1110.39,796.0,0.0,35.9,0.0,0.0,31.238958179653473,31.238958179653473,0.0
351,206.0,180.0,621.0,1001.0,283.0,26.0,0.0,1.6448,48.03062492829814,48.03062492829814,0.0
781,352.87,185.45,709.0,788.2,141.6635,20.6056,0.0,11.3330602,56.27368276435342,56.27368276435342,0.0
584,368.0,161.0,1085.2,693.81,92.0,0.0,0.0,1.104,51.223401702676256,51.223401702676256,0.0
1035,118.75,190.0,742.2,924.2,71.25,23.75,237.5,1.425,24.80269260196027,24.80269260196027,0.0
1394,180.0,135.0,895.0,895.0,270.0,0.0,0.0,1.0,46.69698104974062,46.69698104974062,0.0
1335,486.0,165.24,817.56,828.36,0.0,54.0,0.0,4.86,62.47725042628328,62.47725042628328,0.0
490,280.0,160.0,1270.0,554.0,120.0,0.0,0.0,0.0,32.99772644421866,32.99772644421866,0.0
976,489.4,185.5,774.6,861.1,15.453,10.302,0.0,11.33341,52.44975018137438,52.44975018137438,0.0
353,257.0,180.0,621.0,1023.0,206.0,51.0,0.0,3.1868,62.3813516140525,62.3813516140525,0.0
591,300.0,191.0,862.0,761.0,169.0,0.0,0.0,4.2,34.409336557966746,34.409336557966746,0.0
306,140.0,200.0,916.0,753.0,103.0,0.0,133.0,7.0,34.17925053631692,34.17925053631692,0.0
903,372.33,186.16,948.54,636.97,93.08,0.0,0.0,2.34,45.168897161471904,45.168897161471904,0.0
99,475.0,165.0,1050.0,690.0,0.0,25.0,0.0,12.0,66.64578710654642,66.64578710654642,0.0
1414,332.4,214.0,1212.0,520.0,47.5,23.8,71.3,0.0,39.2925841944345,39.2925841944345,0.0
271,314.0,178.9,869.1,690.2,113.2,0.0,145.3,8.0,46.8827603673138,46.8827603673138,0.0
240,264.5,195.5,832.6,790.4,86.5,0.0,111.0,5.9,43.032144463364276,43.032144463364276,0.0
596,240.0,180.0,1107.0,665.0,0.0,0.0,160.0,0.0,32.31029570785748,32.31029570785748,0.0
882,138.0,200.7,1048.0,660.0,92.0,46.0,184.0,1.84,37.14753988872786,37.14753988872786,0.0
