index,Cement(kg/m3),Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3),FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),GUI_prediction_MPa,Pipeline_prediction_MPa,Absolute_difference_MPa
141,165.0,163.8,1005.6,900.9,124.8,0.0,0.0,0.0,38.5366802353453,38.5366802353453,0.0
844,261.25,190.0,733.7,951.4,47.5,23.75,142.5,1.425,40.69430743465112,40.69430743465112,0.0
922,94.8,168.0,820.0,807.0,0.0,0.0,379.2,1.69,51.853728127712316,51.853728127712316,0.0
770,399.23,185.45,742.29,825.21,84.9981,30.9084,0.0,11.333003,55.84265742357994,55.84265742357994,0.0
416,360.0,198.0,859.0,817.0,33.75,22.5,33.75,4.2,74.90296944865926,74.90296944865926,0.0
29,260.0,214.9,832.0,785.0,260.0,0.0,0.0,4.78,22.716714412521096,22.716714412521096,0.0
1384,337.5,112.5,1413.05,439.59,0.0,112.5,0.0,13.5,91.37386187353093,91.37386187353093,0.0
65,400.0,200.0,771.0,870.0,0.0,54.5,0.0,8.0,57.66252887635991,57.66252887635991,0.0
1112,160.0,156.0,1809.0,1372.0,0.0,0.0,240.0,2.0,39.39302418270556,39.39302418270556,0.0
1343,467.0,150.0,1147.0,703.0,0.0,33.0,0.0,7.5,78.03182489692335,78.03182489692335,0.0
175,400.0,160.0,999.0,710.0,100.0,0.0,0.0,2.0,52.570587317626895,52.570587317626895,0.0
904,372.33,186.16,948.54,636.97,93.08,0.0,0.0,2.34,45.168897161471904,45.168897161471904,0.0
618,333.0,173.0,924.0,743.0,162.0,0.0,0.0,3.71,45.55450094803416,45.55450094803416,0.0
1151,350.0,190.0,876.0,830.0,150.0,0.0,0.0,9.1,38.98137450330245,38.98137450330245,0.0
115,475.0,170.0,1100.0,640.0,0.0,25.0,0.0,17.5,57.558564331446256,57.558564331446256,0.0
1078,260.0,214.9,832.0,785.0,260.0,0.0,0.0,4.78,22.716714412521096,22.716714412521096,0.0
909,340.0,121.0,1263.0,774.0,51.0,10.2,0.0,4.2,47.988914109163126,47.988914109163126,0.0
425,428.0,198.0,865.0,823.0,0.0,22.5,0.0,4.9,50.909173223371575,50.909173223371575,0.0
394,330.0,176.0,913.0,711.0,110.0,0.0,110.0,7.5,53.34913390871593,53.34913390871593,0.0
1196,135.0,189.0,646.6,973.3,0.0,45.0,270.0,2.02,23.64571663094707,23.64571663094707,0.0
680,421.6,158.0,1029.0,686.0,105.4,0.0,0.0,10.54,51.12142831574075,51.12142831574075,0.0
864,225.625,190.0,752.5,937.1,47.5,11.875,190.0,1.1875,36.06855941194178,36.06855941194178,0.0
621,375.0,195.0,735.0,910.0,125.0,0.0,0.0,6.75,42.43347351299071,42.43347351299071,0.0
44,253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,39.736586806536714,39.736586806536714,0.0
59,281.82,260.14,810.0,795.0,118.46,0.0,0.0,0.0,24.064552897255048,24.064552897255048,0.0
1336,459.0,156.06,817.56,828.36,0.0,81.0,0.0,4.32,57.75137565878941,57.75137565878941,0.0
582,360.0,201.6,1058.0,616.0,120.0,0.0,0.0,14.4,25.331007489687693,25.331007489687693,0.0
420,270.0,198.0,842.0,801.0,180.0,0.0,0.0,2.9,39.57244178740255,39.57244178740255,0.0
1005,345.1,185.5,694.6,772.2,169.983,0.0,0.0,11.331826,46.894864252022,46.894864252022,0.0
358,135.0,180.0,640.0,1034.0,315.0,0.0,0.0,0.585,24.361954978996778,24.361954978996778,0.0
583,336.0,201.6,1058.0,616.0,144.0,0.0,0.0,14.4,23.254819637647604,23.254819637647604,0.0
270,168.9,158.3,1080.8,796.2,124.3,0.0,42.2,10.8,33.413262244733495,33.413262244733495,0.0
350,257.0,180.0,621.0,1023.0,231.0,26.0,0.0,2.056,48.955995688533044,48.955995688533044,0.0
721,283.5,107.73,869.0,869.0,0.0,10.5,126.0,2.016,48.6977203865044,48.6977203865044,0.0
405,405.0,198.0,861.0,819.0,0.0,45.0,0.0,5.2,60.504606923136436,60.504606923136436,0.0
834,360.6,158.0,1151.0,647.0,74.1,59.3,0.0,4.94,58.53203157462087,58.53203157462087,0.0
1270,330.0,176.0,920.0,716.0,0.0,55.0,165.0,10.78,73.77347877300704,73.77347877300704,0.0
274,272.8,209.7,904.0,679.7,81.8,0.0,105.1,9.0,36.71969602846792,36.71969602846792,0.0
322,250.0,191.0,580.0,1069.0,0.0,0.0,250.0,1.9,29.88365476886397,29.88365476886397,0.0
78,228.0,182.0,1100.0,770.0,0.0,68.0,159.0,2.8,48.52674353092903,48.52674353092903,0.0
993,401.8,185.5,729.4,810.9,113.322,0.0,0.0,11.332684,45.792785891832,45.792785891832,0.0
275,165.0,175.1,1005.8,746.6,132.1,0.0,128.5,8.1,34.63348359946592,34.63348359946592,0.0
1081,130.0,214.9,832.0,785.0,390.0,0.0,0.0,7.4,15.717493811675613,15.717493811675613,0.0
220,236.9,246.9,852.9,695.4,71.5,0.0,91.7,6.0,30.751243706870557,30.751243706870557,0.0
316,300.0,191.0,571.0,1029.0,200.0,0.0,0.0,1.83,34.16655739397982,34.16655739397982,0.0
428,360.0,198.0,855.0,813.0,67.5,22.5,0.0,4.2,55.24698152260114,55.24698152260114,0.0
1066,257.0,216.8,754.0,800.0,256.0,0.0,0.0,4.1,23.34780100211979,23.34780100211979,0.0
70,373.0,200.0,772.0,872.0,81.5,0.0,0.0,4.67,53.051791298245284,53.051791298245284,0.0
15,83.0,168.0,820.0,932.0,83.0,0.0,249.0,1.69,47.959769511268426,47.959769511268426,0.0
453,450.0,129.6,1002.0,614.0,0.0,0.0,90.0,3.6,51.031250950275556,51.031250950275556,0.0
953,577.0,151.0,1078.0,511.0,0.0,89.0,74.0,8.88,112.85569085854496,112.85569085854496,0.0
706,315.0,184.5,1201.5,612.0,135.0,0.0,0.0,2.25,35.10077039991022,35.10077039991022,0.0
1405,135.0,135.0,875.0,875.0,0.0,45.0,270.0,1.857,69.3033526520787,69.3033526520787,0.0
759,458.47,185.45,770.09,856.12,15.4542,41.2112,0.0,11.3329788,54.95928930117091,54.95928930117091,0.0
949,666.0,152.0,1085.0,515.0,0.0,74.0,0.0,8.88,108.60500199394743,108.60500199394743,0.0
